levels_id,company_name
1084,Sr Engineering manager
1085,level 9
1086,Senior Analyst
1087,SDE-1
1088,Senior Offering Manager
1089,BA4
1090,C4
1091,senior designer
1092,Experienced Associate
1093,Associate Offering Manager
1094,Software Development Engineer II
1095,Principal Application Developer
1096,SW 2
1097,level 6
1098,M24
1099,NXT
1100,Software Engneer III
1101,Associate Product Manager (X2)
1102,Part Time SE1
1103,Associate III
1104,6V
1105,30
1106,Flat
1107,SDET 2
1108,Senior SDET
1109,Sr. Contractor / IC
1110,P06 Senior Engineer
1111,Solution Specialist
1112,Mid-Level
1113,CL4
1114,front line
1115,RE4
1116,Senior Staff Manager
1117,Product Engineer 1
1118,I9
1119,Software Engineer Generalist
1120,e4
1121,PB
1122,SD2
1123,Gcb 4
1124,SDET II
1125,Senior 2
1126,Staff Systems Engineer
1127,MGT1
1128,D5
1129,Technical systems analyst
1130,Senior Engineer III
1131,Assistant Vice President
1132,p5
1133,Senior Software Engineer III
1134,Senior Engineer 3
1135,T3-3
1136,ICB 6
1137,C6
1138,Staff Designer
1139,Staff SE
1140,s2
1141,WL2
1142,Chief
1143,C5 (Software Engineer II)
1144,Technical Team Lead
1145,New Graduate
1146,Senior L2
1147,T9
1148,Senior Principal Member of Technical Staff
1149,L3 (New Grad)
1150,P9
1151,Software enegineer
1152,Software Developer 3
1153,Senior Engineer 1
1154,officer
1155,Entry-Level
1156,PM1
1157,Full Stack Cloud Developer
1158,Lead Developer
1159,TR5
1160,OM1
1161,Staff Software Developer
1162,200
1163,Member of Engineering Staff (Engineering Level #2)
1164,"Manager, Engineering"
1165,Senior L5
1166,Job Grade 9
1167,Software Engineer T1
1168,Senior Engineer II
1169,DIRECTOR
1170,Software Design Engineer 2
1171,ICB 6 master
1172,g6
1173,ENG 1
1174,Software Development Engineer I
1175,Sde
1176,Enterprise Quality Architect
1177,Also
1178,Senior Product Manager II
1179,Senior software engineering manager
1180,Sr mts
1181,s7
1182,4 years dev
1183,Lead App Dev
1184,Senior Member Technical Staff
1185,6301
1186,Senior engineer 2
1187,ic3
1188,Technical analyst
1189,Senior Research Scientist
1190,Senior Level 8
1191,Business Analyst
1192,Senior Software Engineer 1
1193,SWE3
1194,SW1
1195,Sr Staff Engineer
1196,M12
1197,Engineering Manager I
1198,QA Automation III
1199,Senior Software Engineer (I7)
1200,I3
1201,Senior Software Quality Engineer
1202,Software Engineer 3 66
1203,Technical Architect 3
1204,Product Manager I
1205,AO
1206,H7
1207,L25
1208,Software engineer 2
1209,Sr software engineer
1210,L40
1211,Engineering Resident
1212,Associate I
1213,IC 2
1214,Senior Principal Consultant
1215,GCB 6
1216,senior hardware security engineer
1217,SL1
